job title,"condition"
UI/UX designer UI/UX 設計師,"1. 具備3年以上的非實習經驗
2. 具備使用Sketch, Adobe XD, Figma, InVision, Axure, Protopie 等其中之一的工具經驗
3. 具備參與 Mobile 手機 App 專案開發設計經驗
4. 具備與客戶討論與分析客戶需求的非實習經驗
5. 具備與研發人員討論與分析客戶需求的非實習經驗"
Sr. Front-end Engineer 前端工程師,"1. 具備3年以上的非實習經驗"
